timestamp,user_id,friend_id,friend_name
2018-02-14 11:50:02,EB96305EADU2,84BE9DC3BFLL,Matthew
2018-02-14 11:50:02,0B4E1F74A818,84BE9DC3BFLL,Matthew
2018-02-14 11:50:05,0B4E1F74A818,E670587FFC18,Jonathan
2018-02-14 11:52:10,0B4E1F74A818,A1B2C3D4E5FF,Sarah
2018-02-14 12:10:00,0B4E1F74A818,F9E8D7C6B5AA,Chris
2018-02-14 12:11:00,0B4E1F74A818,AAAA11112222,Anna
2018-02-14 12:12:00,0B4E1F74A818,BBBB33334444,Tom
2018-02-14 12:13:00,0B4E1F74A818,CCCC55556666,Lucy
2018-02-14 14:00:00,EB96305EADU2,DDDD77778888,James
2018-02-14 14:01:30,EB96305EADU2,EEEE99990000,Nina
2018-02-14 19:00:00,0B4E1F74A818,FFFF11113333,Paul
2018-02-14 19:00:30,0B4E1F74A818,GGGG44445555,Mia
2018-02-14 20:30:00,0B4E1F74A818,HHHH66667777,Leo
